Reviewer,Paper,Year,Continent,Country,Region,Latitude,Longitude,System,Sentinel Species,Taxonomy,Specific Taxonomy,Revised Taxnomy,Trophic Position,Body Size (kg),Diet Niche Breadth,Ecto vs. Endotherm?,Type of Indicator,Connection? A or B?,Evidence for C?,Ecosystem Component,Ecosystem Category,Environmental Change,Environmental Category,Sentinel Response,Sampling Method,Scale of Change,Description,Why a Good Sentinel?,Vote Counting,Value,Sample Size,,,,,,,,,,,,,,,,,
KAH,Pedro et al. 2014,2014,Africa,Seychelles,East African Island,-4.2124,55.6664,Marine,Roseate Tern,Bird,seabird,Seabirds,Secondary Consumer,0.11,Generalist,Endotherm,Elucidating,B,NA,prey abundance,Prey,chlorophyll-a,Ocean Habitat,chick food loads,Diet,Years,chick food load positively correlated w/ chlor-a (with a 2-week lag),possible indicator over short time scales,1,0.41,65,,,,,,,,,,,,,,,,,
KAH,Pedro et al. 2014,2014,Africa,Seychelles,East African Island,-4.2124,55.6664,Marine,Roseate Tern,Bird,seabird,Seabirds,Secondary Consumer,0.11,Generalist,Endotherm,Elucidating,B,NA,prey abundance,Prey,SST,Ocean Temp,chick food loads,Diet,Years,chick food load negatively correlated w/SST (with a 2-week lag),possible indicator over short time scales,1,-0.26,65,,,,,,,,,,,,,,,,,
EWJ,Miller and Sydeman 2004,2004,North America,USA,Farallon Islands,37.6982,-123.0034,Marine,Common murre,Bird,seabird,Seabirds,Secondary Consumer,0.99,Generalist,Endotherm,Elucidating,B,Referenced,Rockfish abundance,Prey,frequency of intense upwelling events,Ocean Habitat,nestling diet,Diet,Years,proportion of nestling diet comprised of rockfish positively correlated with frequency of insense spring upwelling events with 5yr lag ,Relatively easy and inexpesive way to collect data,1,0.54,28,,,,,,,,,,,,,,,,,
EWJ,Tryjanowski and Morelli 2015,2015,Europe,Poland,Western Poland,51.34,17.4,Terrestrial,Common cuckoo,Bird,cuckoos,,Secondary Consumer,0.11,Generalist,Endotherm,Elucidating,A,NA,Bird species richness,Co-occurring,Unspecified,NA,cuckoo occurence,Space-Use,Years,cuckoo occurance positively correlated with bird species richness across space and time,"Detectability, widespread occurance, coevolutionary relationship with other species",1,NA,NA,,,,,,,,,,,,,,,,,
TJCW,Baker et al. 2012,2012,North America,USA,Hawaii,25.7391,-171.7366,Marine,Hawaiian monk seal,Mammal,seals,Pinnipeds,Secondary Consumer,223,Generalist,Endotherm,Elucidating,B,Referenced,prey abundance,Prey,Pacific Decadal Oscillation,Ocean Temp,population size,Population,Decades,"decadal trends in seal beach counts are positively related to decadal trends in PDO, hypothesized through changes in primary productivity and prey","Easy to monitor, long-term",1,0.43,17,,,,,,,,,,,,,,,,,
TJCW,Blight et al. 2015,2015,North America,Canada,British Columbia,48.8339,-123.4175,Marine,Glaucous-winged gull,Bird,seabird,Seabirds,Secondary Consumer,1.05,Generalist,Endotherm,Elucidating,A,Referenced,prey abundance,Prey,fishing,NA,stable isotopes,Diet,Years,declines in carbon and nitrogen stable isotope correlate with overfishing in the Salish Sea,really long-term historical data,1,NA,NA,,,,,,,,,,,,,,,,,
TJCW,Cimino et al. 2022,2022,North America,USA,California coast,37.697,-123.001,Marine,Western gull,Bird,seabird,Seabirds,Secondary Consumer,0.92,Generalist,Endotherm,Elucidating,B,Quantified,"prey abundance, whale distribution",Prey,upwelling,Ocean Habitat,foraging behavior,Space-Use,Years,"Upwelling index is related with nearshore foraging, prey abundances, and humpback whale distributions","Sensitive, fine-scale",1,0.57,7,,,,,,,,,,,,,,,,,
TJCW,Cimino et al. 2022,2022,North America,USA,California coast,37.697,-123.001,Marine,Western gull,Bird,seabird,Seabirds,Secondary Consumer,0.92,Generalist,Endotherm,Elucidating,A,Quantified,prey abundance,Prey,upwelling,Ocean Habitat,foraging behavior,Space-Use,Years,"Upwelling index is related with nearshore foraging, prey abundances, and humpback whale distributions","Sensitive, fine-scale",1,0.27,7,,,,,,,,,,,,,,,,,
TJCW,Cimino et al. 2022,2022,North America,USA,California coast,37.697,-123.001,Marine,Western gull,Bird,seabird,Seabirds,Secondary Consumer,0.92,Generalist,Endotherm,Elucidating,A,Quantified,whale distribution,Co-occurring,upwelling,Ocean Habitat,foraging behavior,Space-Use,Years,"Upwelling index is related with nearshore foraging, prey abundances, and humpback whale distributions","Sensitive, fine-scale",1,0.19,7,,,,,,,,,,,,,,,,,
TJCW,Daly et al. 2013,2013,North America,USA,Oregon coast,46.2393,-124.901,Marine,Icthyoplankton,Fish,fish,Fish,Primary Consumer,NA,Generalist,Ectotherm,Elucidating,B,Referenced,salmon survival,Predator,Pacific Decadal Oscillation,Ocean Temp,biomass,Population,Years,"Icthyoplankton biomass is related with PDO, which is related to salmon survival","Easy to measure, early, cost-effective",1,0.6,13,,,,,,,,,,,,,,,,,
TJCW,Daly et al. 2013,2013,North America,USA,Oregon coast,46.2393,-124.901,Marine,Icthyoplankton,Fish,fish,Fish,Primary Consumer,NA,Generalist,Ectotherm,Elucidating,A,Referenced,coho salmon survival,Predator,Pacific Decadal Oscillation,Ocean Temp,biomass,Population,Years,"Icthyoplankton biomass is related with PDO, which is related to salmon survival","Easy to measure, early, cost-effective",1,0.707,13,,,,,,,,,,,,,,,,,
TJCW,Daly et al. 2013,2013,North America,USA,Oregon coast,46.2393,-124.901,Marine,Icthyoplankton,Fish,fish,Fish,Primary Consumer,NA,Generalist,Ectotherm,Elucidating,A,Referenced,chinook salmon survival,Predator,Pacific Decadal Oscillation,Ocean Temp,biomass,Population,Years,"Icthyoplankton biomass is related with PDO, which is related to salmon survival","Easy to measure, early, cost-effective",1,0.84,13,,,,,,,,,,,,,,,,,
TJCW,Pomerleau et al. 2014,2014,North America,Canada,East Canada Arctic,69.933,-78.3193,Marine,Bowhead whales,Mammal,cetacea,Cetacea,Secondary Consumer,79691,Generalist,Endotherm,Elucidating,A,Referenced,prey biomass/community structure,Prey,climate change,Ocean Temp,fatty acid composition of blubber,Morphometrics,Months,Fatty acid composition of blubber relates to prey biomass/composition,NA,1,NA,NA,,,,,,,,,,,,,,,,,
TJCW,Price et al. 2007,2007,North America,USA,Great Lakes region,43.6025,-83.6578,Freshwater,Spring peeper,Amphibian,anurans,Frogs,Secondary Consumer,0.004,Generalist,Ectotherm,Elucidating,B,NA,Unspecified,NA,environmental condition,Terrestrial Habitat,occupancy,Space-Use,Spatial,Spring peeper occupancy is positively related to ecological condition/negatively related to anthropogenic stress,Very sensitive,1,0.569,11,,,,,,,,,,,,,,,,,
TJCW,Price et al. 2007,2007,North America,USA,Great Lakes region,43.6025,-83.6578,Freshwater,Green frog,Amphibian,anurans,Frogs,Secondary Consumer,0.04,Generalist,Ectotherm,Elucidating,B,NA,Unspecified,NA,environmental condition,Terrestrial Habitat,occupancy,Space-Use,Spatial,Green frog occupancy is a poor predictor of environmental condition,Very sensitive,0,0.22,13,,,,,,,,,,,,,,,,,
TJCW,Price et al. 2007,2007,North America,USA,Great Lakes region,43.6025,-83.6578,Freshwater,Gray treefrog,Amphibian,anurans,Frogs,Secondary Consumer,0.007,Generalist,Ectotherm,Elucidating,B,NA,Unspecified,NA,environmental condition,Terrestrial Habitat,occupancy,Space-Use,Spatial,Gray treefrog occupancy is a poor predictor of ecological condition,Very sensitive,0,0.071,15,,,,,,,,,,,,,,,,,
TJCW,Price et al. 2007,2007,North America,USA,Great Lakes region,43.6025,-83.6578,Freshwater,American toad,Amphibian,anurans,Frogs,Secondary Consumer,0.11,Generalist,Ectotherm,Elucidating,B,NA,Unspecified,NA,environmental condition,Terrestrial Habitat,occupancy,Space-Use,Spatial,American toad occupancy is a poor predictor of ecological condition,Very sensitive,0,0.069,14,,,,,,,,,,,,,,,,,
TJCW,Price et al. 2007,2007,North America,USA,Great Lakes region,43.6025,-83.6578,Freshwater,Frogs,Amphibian,anurans,Frogs,Secondary Consumer,NA,Generalist,Ectotherm,Elucidating,B,NA,Unspecified,NA,environmental condition,Terrestrial Habitat,occupancy,Space-Use,Spatial,Frog occupancy is a poor predictor of ecological condition,Very sensitive,0,0.272,13,,,,,,,,,,,,,,,,,
KAH,Bengtson Nash et al. 2017,2017,Antarctica,Antarctica,Southern Ocean,-27.26,153.34,Marine,SH humpback whales,Mammal,cetacea,Cetacea,Secondary Consumer,30000,Generalist,Endotherm,Elucidating,B,Referenced,prey abundance,Prey,sea-ice concentration,Sea Ice,adiposity index,Morphometrics,Years,average yearly adiposity index was negatively correlated with sea-ice concentration,"first noted consumer in this ecosystem to change physiology in response to fluctuating prey, sensitive to changes in hard to monitor krill abundance",1,-0.85,8,,,,,,,,,,,,,,,,,
