Reviewer,Paper,Year,Continent,Country,Region,Latitude,Longitude,System,Sentinel Species,Taxonomy,Specific Taxonomy,Revised Taxnomy,Trophic Position,Body Size (kg),Diet Niche Breadth,Ecto vs. Endotherm?,Type of Indicator,Connection? A or B?,Evidence for C?,Ecosystem Component,Ecosystem Category,Environmental Change,Environmental Category,Sentinel Response,Sampling Method,Scale of Change,Description,Why a Good Sentinel?,Vote Counting,Value,Sample Size,,,,,,,,,,,,,,,,,
BA,Sydeman et al. 2017,2017,North America,USA,Alaska,57.2855,-156.3432,Marine,puffins,Bird,seabird,Seabirds,Secondary Consumer,0.77,Generalist,Endotherm,Elucidating,B,Referenced,sand lance (fish) availability,Prey,"SST, sea level pressure, winds (condensed into PCA)",Ocean Temp,diet,Diet,Years,sand lance in puffin diet positively correlated with warmer ocean conditions,"seabirds are ""conspicuous, highly mobile samplers""",1,0.604,19,,,,,,,,,,,,,,,,,
BA,Sydeman et al. 2017,2017,North America,USA,Alaska,57.2855,-156.3432,Marine,puffins,Bird,seabird,Seabirds,Secondary Consumer,0.77,Generalist,Endotherm,Elucidating,B,Referenced,capelin (fish) availability,Prey,"SST, sea level pressure, winds (condensed into PCA)",Ocean Temp,diet,Diet,Years,capelin in puffin diet negatively correlated with warmer ocean conditions,"seabirds are ""conspicuous, highly mobile samplers""",1,-0.677,19,,,,,,,,,,,,,,,,,
AN,Rode et al. 2021,2021,North America,Canada,Arctic,67.2625,-165.9662,Marine,polar bears,Mammal,carnivore,Carnivores,Secondary Consumer,371,Specialist,Endotherm,Elucidating,A,Quantified,seal body condition (proxy for seal population size/prey availability),Prey,sea ice conditions,Sea Ice,body condition,Morphometrics,Years,Polar bear body condition is positively related to seal body conditio,"polar bears are the only apex predator that lives on sea ice, changes in Arcitc ecosystem can be detected in polar bears - e.g. contaminant levels, reductions in sea ice algae ",1,0.47,8,,,,,,,,,,,,,,,,,
AN,Rode et al. 2021,2021,North America,Canada,Arctic,67.2625,-165.9662,Marine,polar bears,Mammal,carnivore,Carnivores,Secondary Consumer,371,Specialist,Endotherm,Elucidating,B,Quantified,seal body condition (proxy for seal population size/prey availability),Prey,sea ice conditions,Sea Ice,body condition,Morphometrics,Years,"Polar bear body condition is negatively related to sea ice in the Chucki Sea, because sea ice is negatievly related to seal body condition","polar bears are the only apex predator that lives on sea ice, changes in Arcitc ecosystem can be detected in polar bears - e.g. contaminant levels, reductions in sea ice algae ",1,-0.67,8,,,,,,,,,,,,,,,,,
AN,Crawford et al. 2015,2015,North America,USA,Alaska,65.7559,-168.927,Marine,ringed seals,Mammal,carnivore,Pinnipeds,Secondary Consumer,70.96,Generalist,Endotherm,Elucidating,B,Referenced,fish (prey) availability ,Prey,sea ice conditions,Sea Ice,annual growth,Morphometrics,Decades,Seal growth was higher in years with less sea ice,,1,-0.23,19,,,,,,,,,,,,,,,,,
AN,Crawford et al. 2015,2015,North America,USA,Alaska,65.7559,-168.927,Marine,ringed seals,Mammal,carnivore,Pinnipeds,Secondary Consumer,70.96,Generalist,Endotherm,Elucidating,B,Referenced,fish (prey) availability ,Prey,sea ice conditions,Sea Ice,proportion of pups harvested (proxy for pups),Reproduction,Decades,Pup harvest was larger in years with less sea ice,,1,-0.47,19,,,,,,,,,,,,,,,,,
AN,Crawford et al. 2015,2015,North America,USA,Alaska,65.7559,-168.927,Marine,ringed seals,Mammal,carnivore,Pinnipeds,Secondary Consumer,70.96,Generalist,Endotherm,Elucidating,A,Referenced,fish (prey) availability ,Prey,sea ice conditions,Sea Ice,diet composition,Diet,Decades,"Seal diet changed over time, corresponding to sea ice conditions and other long-term trends",,1,,19,,,,,,,,,,,,,,,,,
AN,Crawford et al. 2015,2015,North America,USA,Alaska,65.7559,-168.927,Marine,bearded seals,Mammal,carnivore,Pinnipeds,Secondary Consumer,280,Generalist,Endotherm,Elucidating,A,Referenced,fish (prey) availability ,Prey,sea ice conditions,Sea Ice,diet composition,Diet,Decades,"Seal diet changed over time, corresponding to sea ice conditions and other long-term trends",,1,,19,,,,,,,,,,,,,,,,,
AN,Crawford et al. 2015,2015,North America,USA,Alaska,65.7559,-168.927,Marine,bearded seals,Mammal,carnivore,Pinnipeds,Secondary Consumer,280,Generalist,Endotherm,Elucidating,A,Referenced,fish (prey) availability ,Prey,sea ice conditions,Sea Ice,annual growth,Morphometrics,Decades,Bearded seal growth was not related to sea ice,,0,-0.02,19,,,,,,,,,,,,,,,,,
AN,Crawford et al. 2015,2015,North America,USA,Alaska,65.7559,-168.927,Marine,bearded seals,Mammal,carnivore,Pinnipeds,Secondary Consumer,280,Generalist,Endotherm,Elucidating,A,Referenced,fish (prey) availability ,Prey,sea ice conditions,Sea Ice,proportion of pups harvested (proxy for pups),Reproduction,Decades,Bearded seal pup harvest was not related to sea ice,,0,-0.04,19,,,,,,,,,,,,,,,,,
BA,Willett 2001,2001,North America,USA,California,37.11,-122.1343,Terrestrial,Spider species,Invertebrate,spiders,,Secondary Consumer,NA,Specialist,Ectotherm,Elucidating,B,Referenced,prey abundance & diversity,Prey,forest management practices,Terrestrial Habitat,abundance and diversity,Biodiversity,Spatial,spider & arthropod diversity & abundance higher in old growth redwood forest as compared to second growth and tree farmed areas,important ecologically and easier to monitor than microarthropods,1,NA,NA,,,,,,,,,,,,,,,,,
BA,Williams et al. 2000,2006,Africa,multiple,sub-Saharan Africa,-15.6737,24.5007,Terrestrial,"rhinos, elephant, gorilla, chimpanzees",Mammal,mixed,NA,Primary Consumer,NA,Generalist,Endotherm,Elucidating,A,NA,other species diversity,Co-occurring,NA,NA,presence,Space-Use,Spatial,presence of 'big six' not indicative of high biodiversity,not a good sentinel!,0,NA,NA,,,,,,,,,,,,,,,,,
BA,Watanuki & Ito 2012,2012,Asia,Japan,Japan Sea,44.4245,141.3151,Marine,Rhinoceros auklet,Bird,seabird,Seabirds,Secondary Consumer,0.48,Generalist,Endotherm,Elucidating,B,NA,NA,NA,temperature,Ocean Temp,breeding timing,Reproduction,Years,earlier breeding in warmer years,,1,NA,NA,,,,,,,,,,,,,,,,,
BA,Watanuki & Ito 2012,2012,Asia,Japan,Japan Sea,44.4245,141.3151,Marine,Japanese cormorants,Bird,seabird,Seabirds,Secondary Consumer,2.8,Generalist,Endotherm,Elucidating,B,NA,NA,NA,temperature,Ocean Temp,breeding timing,Reproduction,Years,earlier breeding in warmer years,,1,NA,NA,,,,,,,,,,,,,,,,,
BA,Watanuki & Ito 2012,2012,Asia,Japan,Japan Sea,44.4245,141.3151,Marine,black-tailed gulls,Bird,seabird,Seabirds,Secondary Consumer,0.56,Generalist,Endotherm,Elucidating,B,NA,NA,NA,temperature,Ocean Temp,breeding timing,Reproduction,Years,no relationship between breeding timing & temperature,,0,NA,NA,,,,,,,,,,,,,,,,,
KR,Hooff and Peterson 2006,2006,North America,USA,Oregon coast,44.6282,-124.1881,Marine,Copepod,Invertebrate,crustacea,Crustacea,Primary Consumer,0.00000002,Generalist,Ectotherm,Elucidating,B,NA,NA,NA,SST,Ocean Temp,species richness,Biodiversity,Years,higher copepod biodiversity as SST increases ,short life cycles mean they are well suited to reflecting seasonal and event-scale environmental changes,1,0.47,70,,,,,,,,,,,,,,,,,
KR,Hooff and Peterson 2006,2006,North America,USA,Oregon coast,44.6282,-124.1881,Marine,Copepod,Invertebrate,crustacea,Crustacea,Primary Consumer,0.00000002,Generalist,Ectotherm,Elucidating,B,NA,NA,NA,temperature (10 m deep),Ocean Temp,species richness,Biodiversity,Years,higher copepod biodiversity as water temperatures at 10m increases ,short life cycles mean they are well suited to reflecting seasonal and event-scale environmental changes,1,0.32,83,,,,,,,,,,,,,,,,,
KR,Hooff and Peterson 2006,2006,North America,USA,Oregon coast,44.6282,-124.1881,Marine,Copepod,Invertebrate,crustacea,Crustacea,Primary Consumer,0.00000002,Generalist,Ectotherm,Elucidating,B,NA,NA,NA,sea surface height,Ocean Habitat,species richness,Biodiversity,Years,higher copepod biodiversity as sea surface height increases ,short life cycles mean they are well suited to reflecting seasonal and event-scale environmental changes,1,0.27,96,,,,,,,,,,,,,,,,,
KR,Hooff and Peterson 2006,2006,North America,USA,Oregon coast,44.6282,-124.1881,Marine,Copepod,Invertebrate,crustacea,Crustacea,Primary Consumer,0.00000002,Generalist,Ectotherm,Elucidating,B,NA,NA,NA,Ekman transport,Ocean Habitat,species richness,Biodiversity,Years,no relationship between Ekman transport and copepod biodiversity,short life cycles mean they are well suited to reflecting seasonal and event-scale environmental changes,0,NA,96,,,,,,,,,,,,,,,,,
KR,Hooff and Peterson 2006,2006,North America,USA,Oregon coast,44.6282,-124.1881,Marine,Copepod,Invertebrate,crustacea,Crustacea,Primary Consumer,0.00000002,Generalist,Ectotherm,Elucidating,B,NA,NA,NA,upwelling index,Ocean Habitat,species richness,Biodiversity,Years,no relationship between environmental change variable and sentinel response,short life cycles mean they are well suited to reflecting seasonal and event-scale environmental changes,0,NA,96,,,,,,,,,,,,,,,,,
KR,Hooff and Peterson 2006,2006,North America,USA,Oregon coast,44.6282,-124.1881,Marine,Copepod,Invertebrate,crustacea,Crustacea,Primary Consumer,0.00000002,Generalist,Ectotherm,Elucidating,B,NA,NA,NA,PDO,Ocean Temp,species richness,Biodiversity,Years,higher copepod biodiversity as PDO increases ,short life cycles mean they are well suited to reflecting seasonal and event-scale environmental changes,1,0.53,96,,,,,,,,,,,,,,,,,
KR,Hooff and Peterson 2006,2006,North America,USA,Oregon coast,44.6282,-124.1881,Marine,Copepod,Invertebrate,crustacea,Crustacea,Primary Consumer,0.00000002,Generalist,Ectotherm,Elucidating,B,NA,NA,NA,MEI,Ocean Temp,species richness,Biodiversity,Years,higher copepod biodiversity as MEI increases ,short life cycles mean they are well suited to reflecting seasonal and event-scale environmental changes,1,0.67,96,,,,,,,,,,,,,,,,,
KR,Lyday et al. 2015,2015,North America,USA,California Current System,36.6563,-123.3031,Marine,Sooty shearwater,Bird,seabird,Seabirds,Secondary Consumer,0.78,Generalist,Endotherm,Elucidating,A,Referenced,fish abundance,Prey,"Pacific Decadal Oscillation, North Pacific Gyre Oscillation, Multivariate ENSO Index",Ocean Temp,density,Population,Months,the density of shearwaters is  associated with the number of the fish caught by fisheries,responsive to environmental changes across different spatial and temporal scales,1,NA,NA,,,,,,,,,,,,,,,,,
KR,Lyday et al. 2015,2015,North America,USA,California Current System,36.6563,-123.3031,Marine,Sooty shearwater,Bird,seabird,Seabirds,Secondary Consumer,0.78,Generalist,Endotherm,Elucidating,A,Referenced,Albacore Tuna abundance,Prey,"Pacific Decadal Oscillation, North Pacific Gyre Oscillation, Multivariate ENSO Index",Ocean Temp,aggregation,Space-Use,Months,The proportion of shearwaters sighted as single individuals was associated with catch of fish species,responsive to environmental changes across different spatial and temporal scales,1,NA,NA,,,,,,,,,,,,,,,,,
KR,Lyday et al. 2015,2015,North America,USA,California Current System,36.6563,-123.3031,Marine,pink-footed shearwaters,Bird,seabird,Seabirds,Secondary Consumer,0.74,Generalist,Endotherm,Elucidating,A,Referenced,market squid abundance,Prey,"Pacific Decadal Oscillation, North Pacific Gyre Oscillation, Multivariate ENSO Index",Ocean Temp,travelling,Space-Use,Months,The proportion of shearwaters travelling is associated with fish/squid catch by fisheries,responsive to environmental changes across different spatial and temporal scales,1,NA,NA,,,,,,,,,,,,,,,,,
KR,Lyday et al. 2015,2015,North America,USA,California Current System,36.6563,-123.3031,Marine,Buller's shearwaters,Bird,seabird,Seabirds,Secondary Consumer,0.4,Generalist,Endotherm,Elucidating,A,Referenced,Jumbo Squid abundance,Prey,"Pacific Decadal Oscillation, North Pacific Gyre Oscillation, Multivariate ENSO Index",Ocean Temp,sitting,Space-Use,Months,The proportion of shearwaters sighted as sitting individuals is  associated with fish/squid catch by fisheries,responsive to environmental changes across different spatial and temporal scales,1,NA,NA,,,,,,,,,,,,,,,,,
KR,Lyday et al. 2015,2015,North America,USA,California Current System,36.6563,-123.3031,Marine,black-vented shearwaters,Bird,seabird,Seabirds,Secondary Consumer,0.4,Generalist,Endotherm,Elucidating,A,Referenced,Northern Anchovy abundance,Prey,"Pacific Decadal Oscillation, North Pacific Gyre Oscillation, Multivariate ENSO Index",Ocean Temp,feeding,Space-Use,Months,The proportion of shearwaters feeding is associated  with fish/squid catch by fisheries,responsive to environmental changes across different spatial and temporal scales,1,NA,NA,,,,,,,,,,,,,,,,,
KR,Niemi et al. 1997,1997,North America,USA,Chequamegon National Forest,46.1046,-90.8516,Terrestrial,bird species (see notes),Bird,bird,Forest Birds,Secondary Consumer,NA,Generalist,Endotherm,Elucidating,A,NA,Other bird species (see notes),Prey,NA,NA,presence/absence,Space-Use,Spatial,The study found that the presence/absence of several bird species was a predictor for presence/absence of several other bird species ,,1,NA,NA,,,,,,,,,,,,,,,,,
KR,Pakkala et al. 2014,2014,Europe,Finland,southern Finland,61.15,25,Terrestrial,Red-breasted flycatcher,Bird,bird,Forest Birds,Secondary Consumer,0.01,Generalist,Endotherm,Elucidating,A,Referenced,bird biodiversity,Co-occurring,habitat quality,Terrestrial Habitat,presence/absence,Space-Use,Spatial,Flycatcher presence is positively associated with bird biodiversity at multiple spatial scales,correlates with forest bird richness at multiple spatial scales,1,#REF!,180,,,,,,,,,,,,,,,,,
KR,Sydeman et al. 2010,2010,North America,Canada,British Columbia,52.593,168.6796,Marine,Zooplankton,Invertebrate,zooplankton,,Primary Consumer,NA,Generalist,Ectotherm,Elucidating,A,NA,net primary productivity,Prey,NA,NA,abundance,Population,Spatial,Zooplankton abundance positively correlated with net primary productivity,,1,NA,NA,,,,,,,,,,,,,,,,,
KR,Sydeman et al. 2010,2010,North America,Canada,British Columbia,52.593,168.6796,Marine,Zooplankton ,Invertebrate,zooplankton,,Primary Consumer,NA,Generalist,Ectotherm,Elucidating,A,NA,net primary productivity,Prey,NA,NA,diversity,Biodiversity,Spatial,Zooplankton diversity positively correlated with net primary productivity,,1,NA,NA,,,,,,,,,,,,,,,,,
KR,Sydeman et al. 2010,2010,North America,Canada,British Columbia,52.593,168.6796,Marine,Leach’s storm petrel ,Bird,Seabirds,Seabirds,Secondary Consumer,0.036,Generalist,Endotherm,Elucidating,A,NA,net primary productivity,Prey,NA,NA,density,Population,Spatial,Leach’s storm petrel density is positively associated with net primary productivity,thought that they amplify variation at lower trophic levels,1,NA,NA,,,,,,,,,,,,,,,,,
KR,Sydeman et al. 2010,2010,North America,Canada,British Columbia,52.593,168.6796,Marine,Cassin's Auklet  ,Bird,Seabirds,Seabirds,Secondary Consumer,0.18,Generalist,Endotherm,Elucidating,A,NA,zooplankton abundance,Prey,NA,NA,density,Population,Spatial,Cassin's Auklet density is positively associated with zooplankton abundance ,thought that they amplify variation at lower trophic levels,1,NA,NA,,,,,,,,,,,,,,,,,
KR,Tiede et al. 2017,2017,South America,Ecuador,Andes,-4.3444,-78.9566,Terrestrial,Ants,Invertebrate,ants,Insects,Primary Consumer,NA,Mixed,Ectotherm,Elucidating,B,NA,NA,NA,temperature,Air Temp,incidence,Space-Use,Spatial,Ant incidence decreased as temperature decreased (elevation increased) ,,1,NA,NA,,,,,,,,,,,,,,,,,
KR,Tiede et al. 2017,2017,South America,Ecuador,Andes,-4.3444,-78.9566,Terrestrial,Ants,Invertebrate,ants,Insects,Primary Consumer,NA,Mixed,Ectotherm,Elucidating,B,NA,NA,NA,habitat degradation,Terrestrial Habitat,incidence,Space-Use,Spatial,Ant incidence was not associated with forest degradation,,0,NA,NA,,,,,,,,,,,,,,,,,
KR,Tiede et al. 2017,2017,South America,Ecuador,Andes,-4.3444,-78.9566,Terrestrial,Ants,Invertebrate,ants,Insects,Primary Consumer,NA,Mixed,Ectotherm,Elucidating,B,NA,NA,NA,temperature,Air Temp,functional richness,Biodiversity,Spatial,Ant functional richness decreased as temperature decreased (elevation increased),,1,NA,NA,,,,,,,,,,,,,,,,,
KR,Tiede et al. 2017,2017,South America,Ecuador,Andes,-4.3444,-78.9566,Terrestrial,Ants,Invertebrate,ants,Insects,Primary Consumer,NA,Mixed,Ectotherm,Elucidating,B,NA,NA,NA,habitat degradation,Terrestrial Habitat,functional richness,Biodiversity,Spatial,Ant functional richness was not associated with forest degradation,,0,NA,NA,,,,,,,,,,,,,,,,,
KAH,Sewell and Griffiths 2009,2009,Europe,England,Southeast England,51.2798,1.0812,Freshwater,Great crested newts,Amphibian,Salamandridae,Salamanders,Secondary Consumer,0.015,Generalist,Ectotherm,Elucidating,A,NA,# of aquatic plant species,Co-occurring,NA,NA,presence/absence,Space-Use,Spatial,The presence of great crested newts was positively related to aquatic plant percent cover on ponds,authors argue this is not a good sentinel,1,NA,65,,,,,,,,,,,,,,,,,
KAH,Sewell and Griffiths 2009,2009,Europe,England,Southeast England,51.2798,1.0812,Freshwater,Great crested newts,Amphibian,Salamandridae,Salamanders,Secondary Consumer,0.015,Generalist,Ectotherm,Elucidating,A,NA,percent cover of aquatic plants,Co-occurring,NA,NA,presence/absence,Space-Use,Spatial,The presence of great crested newts was not related to aquatic plant percent cover on ponds,authors argue this is not a good sentinel,0,NA,65,,,,,,,,,,,,,,,,,
KAH,Sewell and Griffiths 2009,2009,Europe,England,Southeast England,51.2798,1.0812,Freshwater,Great crested newts,Amphibian,Salamandridae,Salamanders,Secondary Consumer,0.015,Generalist,Ectotherm,Elucidating,A,NA,shannon diversity index of aquatic plants,Co-occurring,NA,NA,presence/absence,Space-Use,Spatial,The presence of great crested newts was positively related to aquatic plant diversity,authors argue this is not a good sentinel,1,NA,65,,,,,,,,,,,,,,,,,
KAH,Sewell and Griffiths 2009,2009,Europe,England,Southeast England,51.2798,1.0812,Freshwater,Great crested newts,Amphibian,Salamandridae,Salamanders,Secondary Consumer,0.015,Generalist,Ectotherm,Elucidating,A,NA,simpson's diversity index of aquatic plants,Co-occurring,NA,NA,presence/absence,Space-Use,Spatial,The presence of great crested newts was positively related to aquatic plant diversity,authors argue this is not a good sentinel,1,NA,65,,,,,,,,,,,,,,,,,
KAH,Sewell and Griffiths 2009,2009,Europe,England,Southeast England,51.2798,1.0812,Freshwater,Great crested newts,Amphibian,Salamandridae,Salamanders,Secondary Consumer,0.015,Generalist,Ectotherm,Elucidating,A,NA,# of macroinvertebrate families,Co-occurring,NA,NA,presence/absence,Space-Use,Spatial,Presence of great crested newt not related to # of macroinvertebrate families,authors argue this is not a good sentinel,0,NA,27,,,,,,,,,,,,,,,,,
KAH,Sewell and Griffiths 2009,2009,Europe,England,Southeast England,51.2798,1.0812,Freshwater,Great crested newts,Amphibian,Salamandridae,Salamanders,Secondary Consumer,0.015,Generalist,Ectotherm,Elucidating,A,NA,# macroinvertebrate individuals,Co-occurring,NA,NA,presence/absence,Space-Use,Spatial,Presence of great crested newt not related to # macroinvertebrate individuals,authors argue this is not a good sentinel,0,NA,27,,,,,,,,,,,,,,,,,
KAH,Sewell and Griffiths 2009,2009,Europe,England,Southeast England,51.2798,1.0812,Freshwater,Great crested newts,Amphibian,Salamandridae,Salamanders,Secondary Consumer,0.015,Generalist,Ectotherm,Elucidating,A,NA,shannon diversity index of macroinvertebrates,Co-occurring,NA,NA,presence/absence,Space-Use,Spatial,Presence of great crested newt not related to shannon diversity index of macroinvertebrates,authors argue this is not a good sentinel,0,NA,27,,,,,,,,,,,,,,,,,
KAH,Sewell and Griffiths 2009,2009,Europe,England,Southeast England,51.2798,1.0812,Freshwater,Great crested newts,Amphibian,Salamandridae,Salamanders,Secondary Consumer,0.015,Generalist,Ectotherm,Elucidating,A,NA,simpson's diversity index of macroinvertebrates,Co-occurring,NA,NA,presence/absence,Space-Use,Spatial,Presence of great crested newt not related to simpson diversity index,authors argue this is not a good sentinel,0,NA,27,,,,,,,,,,,,,,,,,
KAH,Black et al. 2014,2014,North America,USA,California Current System,37.6982,-123.0034,Marine,Common murre,Bird,Seabird,Seabirds,Secondary Consumer,0.99,Generalist,Endotherm,Elucidating,B,NA,NA,NA,"California Current Winter Index: 1st PC of NOI, sea level, and winter upwelling index in central CC",Ocean Temp,Murre lay date,Reproduction,Decades,Murre lay date is negatively correlated with CCWI,not discussed,1,-0.66,34,,,,,,,,,,,,,,,,,
KAH,Black et al. 2014,2014,North America,USA,California Current System,37.6982,-123.0034,Marine,Cassin's Auklet  ,Bird,Seabird,Seabirds,Secondary Consumer,0.18,Generalist,Endotherm,Elucidating,B,NA,NA,NA,"California Current Winter Index: 1st PC of NOI, sea level, and winter upwelling index in central CC",Ocean Temp,Auklet lay date,Reproduction,Decades,Auklet lay date is negatively correlated with CCWI,not discussed,1,-0.78,34,,,,,,,,,,,,,,,,,
KAH,Black et al. 2014,2014,North America,USA,California Current System,37.6982,-123.0034,Marine,Common murre,Bird,Seabird,Seabirds,Secondary Consumer,0.99,Generalist,Endotherm,Elucidating,B,NA,NA,NA,"California Current Winter Index: 1st PC of NOI, sea level, and winter upwelling index in central CC",Ocean Temp,Murre reproductive success,Reproduction,Decades,Murre reproductive success is positively correlated with CCWI,not discussed,1,0.57,34,,,,,,,,,,,,,,,,,
KAH,Black et al. 2014,2014,North America,USA,California Current System,37.6982,-123.0034,Marine,Splitnose Rockfish,Fish,Rockfish,,Secondary Consumer,0.18,Generalist,Ectotherm,Elucidating,B,NA,NA,NA,"California Current Winter Index: 1st PC of NOI, sea level, and winter upwelling index in central CC",Ocean Temp,splitnose otolith growth chronology,Morphometrics,Decades,splitnose otolish growth chronology is positively correlated with CCWI,not discussed,1,0.62,58,,,,,,,,,,,,,,,,,
KAH,Black et al. 2014,2014,North America,USA,California Current System,37.6982,-123.0034,Marine,Copepods,Invertebrate,Crustacean,Crustacea,Primary Consumer,0.00000002,Mixed,Ectotherm,Elucidating,B,NA,NA,NA,"California Current Winter Index: 1st PC of NOI, sea level, and winter upwelling index in central CC",Ocean Temp,winter copepod richness index,Biodiversity,Years,winter copepod index was negatively correlated with CCWI,not discussed,1,-0.78,16,,,,,,,,,,,,,,,,,
KAH,Shanley et al. 2013,2013,North America,USA,Alaska,55.9126,-133.1995,Terrestrial,northern flying squirrel,Mammal,Rodentia,Rodents,Secondary Consumer,0.137,Generalist,Endotherm,Elucidating,B,NA,% old growth forrest,NA,habitat fragmentation,Terrestrial Habitat,probability of occupany,Space-Use,Spatial,the percent of old growth forrest is positively correlated with the probability of norther flying squirrel occupancy,sensitive to changes in habitat fragmentation,1,0.71,32,,,,,,,,,,,,,,,,,
KAH,Shanley et al. 2013,2013,North America,USA,Alaska,55.9126,-133.1995,Terrestrial,northern flying squirrel,Mammal,Rodentia,Rodents,Secondary Consumer,0.137,Generalist,Endotherm,Elucidating,B,NA,forrest patch size,NA,habitat fragmentation,Terrestrial Habitat,probability of occupany,Space-Use,Spatial,The forrest patch size is positively correlated with the probability of norther flying squirrel occupancy,sensitive to changes in habitat fragmentation,1,NA,32,,,,,,,,,,,,,,,,,
KAH,Shanley et al. 2013,2013,North America,USA,Alaska,55.9126,-133.1995,Terrestrial,northern flying squirrel,Mammal,Rodentia,Rodents,Secondary Consumer,0.137,Generalist,Endotherm,Elucidating,B,NA,forrest patch connectivity,NA,habitat fragmentation,Terrestrial Habitat,probability of occupany,Space-Use,Spatial,The forrest patch connectivity is positively correlated with the probability of occupancy of the northern flying squirrel,sensitive to changes in habitat fragmentation,1,NA,32,,,,,,,,,,,,,,,,,
EWJ,Rode et al. 2017,2017,North America,USA/Canada,Beaufort Sea,70.6306,-150.6103,Marine,polar bears,Mammal,carnivore,Carnivores,Secondary Consumer,371,Generalist,Endotherm,Elucidating,B,NA,NA,NA,wind speed,Ocean Habitat,probability of fasting,Diet,Years,wind speed positively correlated with probability of spring fasting in polar bears,"broad spatial distribution, long lived, high trophic level",1,NA,1448,,,,,,,,,,,,,,,,,
EWJ,Rode et al. 2017,2017,North America,USA/Canada,Beaufort Sea,70.6306,-150.6103,Marine,polar bears,Mammal,carnivore,Carnivores,Secondary Consumer,371,Generalist,Endotherm,Elucidating,B,NA,NA,NA,Arctic Oscillation,Ocean Temp,probability of fasting,Diet,Years,AO negativity correlated with probability of polar bear fasting,"broad spatial distribution, long lived, high trophic level",1,NA,839,,,,,,,,,,,,,,,,,
EWJ,Scopel et al. 2017,2017,North America,USA/Canada,Gulf of Maine-Bay of Fundy,43.8596,-68.896,Marine,Common tern,Bird,Seabird,Seabirds,Secondary Consumer,0.12,Generalist,Endotherm,Elucidating,A,NA,Herring Density,Prey,Unspecified,NA,diet composition,Diet,Years,proportion of seabird diet composed of herring correlated with herring abundance measured by acoustic surveys 1 year later,reliance on eating ecosystem component (herring),1,NA,8,,,,,,,,,,,,,,,,,
EWJ,Scopel et al. 2017,2017,North America,USA/Canada,Gulf of Maine-Bay of Fundy,43.8596,-68.896,Marine,Razorbill,Bird,Seabird,Seabirds,Secondary Consumer,0.73,Generalist,Endotherm,Elucidating,A,NA,Herring Density,Prey,Unspecified,NA,chick feeding rate,Diet,Years,chick feeding rate of herring correlated with herring abundance measured by modelling 5 years later,reliance on eating ecosystem component (herring),1,NA,5,,,,,,,,,,,,,,,,,
EWJ,Scopel et al. 2017,2017,North America,USA/Canada,Gulf of Maine-Bay of Fundy,43.8596,-68.896,Marine,Common tern,Bird,Seabird,Seabirds,Secondary Consumer,0.12,Generalist,Endotherm,Elucidating,A,NA,Herring Density,Prey,Unspecified,NA,chick feeding rate,Diet,Years,chick feeding rate of herring correlated with herring abundance measured by landings 4 years later,reliance on eating ecosystem component (herring),1,NA,11,,,,,,,,,,,,,,,,,
EWJ,Scopel et al. 2017,2017,North America,USA/Canada,Gulf of Maine-Bay of Fundy,43.8596,-68.896,Marine,Puffin,Bird,Seabird,Seabirds,Secondary Consumer,0.77,Generalist,Endotherm,Elucidating,A,NA,Herring Density,Prey,Unspecified,NA,chick feeding rate,Diet,Years,chick feeding rate of herring correlated with herring abundance measured by fishery measured mass surveys 5 years later,reliance on eating ecosystem component (herring),1,NA,6,,,,,,,,,,,,,,,,,
EWJ,Scopel et al. 2017,2017,North America,USA/Canada,Gulf of Maine-Bay of Fundy,43.8596,-68.896,Marine,Puffin,Bird,Seabird,Seabirds,Secondary Consumer,0.77,Generalist,Endotherm,Elucidating,A,NA,Herring Density,Prey,Unspecified,NA,diet composition,Diet,Years,proportion of seabird diet composed of herring correlated with modelled herring abundance in the same year,reliance on eating ecosystem component (herring),1,NA,7,,,,,,,,,,,,,,,,,
EWJ,Scopel et al. 2017,2017,North America,USA/Canada,Gulf of Maine-Bay of Fundy,43.8596,-68.896,Marine,Arctic tern,Bird,Seabird,Seabirds,Secondary Consumer,0.11,Generalist,Endotherm,Elucidating,A,NA,Herring Density,Prey,Unspecified,NA,diet composition,Diet,Years,chick feeding rate of herring correlated with herring abundance measured by acoustic surveys 4 years later,reliance on eating ecosystem component (herring),1,NA,11,,,,,,,,,,,,,,,,,
EWJ,Sergio et al. 2006,2006,Europe,Italy,Italian Alps,46.22,11.02,Terrestrial,Goshawk,Bird,Raptor,Raptors,Secondary Consumer,0.86,Generalist,Endotherm,Elucidating,A,NA,shannon diversity index of avian species,Prey,Unspecified,NA,presence/absence,Space-Use,Spatial,sentinel presence positively correlated with avian species diversity,not discussed,1,NA,50,,,,,,,,,,,,,,,,,
EWJ,Sergio et al. 2006,2006,Europe,Italy,Italian Alps,46.22,11.02,Terrestrial,Pygmy owl,Bird,Raptor,Raptors,Secondary Consumer,0.07,Generalist,Endotherm,Elucidating,A,NA,shannon diversity index of avian species,Prey,Unspecified,NA,presence/absence,Space-Use,Spatial,sentinel presence positively correlated with avian species diversity,not discussed,1,NA,50,,,,,,,,,,,,,,,,,
